,tokenisasi,Label
0,rt megatop conannkri ccicpolri mohmahfudmd negara demokrasi hukum hrs adilibarat kereta api relnyakereta api,2
1,jokowi harga pd gaji aparat negara gk naikyg enak mah jabat politik gaji segudangmrk gk peduli kena,0
2,xx coba usir bersih air planet gagal tukar air ,0
3,jokowi haturnuhun presiden jokowi kenan kunker kampung,1
4,rifanrobani catatanali erickthohir jokowi titis,1
5,rt delightbee jokowi pertamina kemenbumn ya rakyat mu rindu,2
6,jokowi pertamina kemenbumn ya rakyat mu rindu,2
7,presiden jokowi terang pers kunjung kerja pasar sukamandi kabupaten subang jawa barat ,2
8,rt jokowi dunia alami kurang pangan manamana kondisi sedia pangan indonesia aman bala,2
9,rt jokowi situasi dunia disrupsi bidang pangan energi tekan menteri utama ,2
10,megatop ccicpolri mohmahfudmd jokowi iya bener bang bebas rambu rambu yg hukum yg runtuh,2
11,jokowi waduk sdh benah tengah ramai nyinyir skrg pem tingkat tahan pangan jd hrs klu,2
12,luckman lukmanrudianto bliliang dennysiregar jokowi ganjar junjung bong cebong seka,2
13,rt yaniarsim  untung jokowi ga denger,0
14,rt yudiset presiden jokowi hati hati yg suka makan roti makan mie harga perang ukraina jadi ,0
15,katzedikke erickthohir jokowi cie kata cakep gloriahermawan,1
16,rt desamakmur media massa corong informasi desa tersebarluaskan media massa jokowi halimiskandarnu ,1
17,rt uyokback tuh dab jokowi dengar omong hasto pdiperjuangan,1
18,rt infosebelah sultan mah bebas bukti salah nga tahan tekan publik kencang paksa tahan tp borgol ,2
19,rt nichosilalahi ayo rakyat indonesia hancur oligarki jahanam berpangk,1
20,rt valosenadya erickthohir jokowi rick you ceo korporasi seblm masuk politik you tau persis tumbuh ekonomi tak,0
21,presiden jokowi respons awak media kait ganti wakil ketua kpk lili pintauli siregar presiden,1
22,erickthohir jokowi omong kosong orang miskin amp bodoh makan dg tipu daya ,1
23,conannkri ccicpolri mohmahfudmd negara demokrasi hukum hrs adilibarat kereta api relnyake,0
24,erickananta richardws jokowi lombok mahal daya beli masyarakat turun akhir,2
25,rt gratisterbaik jokowi musuh perintah rakyat per patuh hukum wakil penting ,1
26,sapporojack heryidris divhumaspolri ccicpolri jokowi listyosigitp kepolisianri kspgoid hub ,1
27,katzedikke erickthohir jokowi nih ketemu lawan sejati wkwkw,2
